state,lender,undisbursed_loans
DE,"Kabbage, Inc.",10
KS,Meritrust FCU,10
ME,"Square Capital, LLC",10
MT,Glacier Bank,10
ND,Gate City Bank,10
NM,Celtic Bank Corporation,10
NM,First American Bank,10
WV,Fountainhead SBF LLC,10
HI,First Hawaiian Bank,9
MN,Sterling State Bank,9
NE,Pinnacle Bank,9
NH,"Square Capital, LLC",9
NM,"Harvest Small Business Finance, LLC",9
RI,"BSD Capital, LLC dba Lendistry",9
RI,"Square Capital, LLC",9
WV,Benworth Capital,9
HI,"American Savings Bank, FSB",8
IA,Bank Iowa,8
ID,Glacier Bank,8
ME,Celtic Bank Corporation,8
ME,Deere Empl CU,8
NE,Five Points Bank,8
NH,"TD Bank, National Association",8
NM,DreamSpring,8
PR,"Cooperativa de Ahorro y Cr<ac,e>dito de Arecibo (COOPACA)",8
RI,"Capital Plus Financial, LLC",8
SD,First Dakota National Bank,8
UT,Cache Valley Bank,8
WV,City National Bank of West Virginia,8
WV,"Harvest Small Business Finance, LLC",8
DC,Fountainhead SBF LLC,7
DE,Itria Ventures LLC,7
IA,"Midstates Bank, National Association",7
NE,West Gate Bank,7
NM,Citizens Bank of Las Cruces,7
NM,Nusenda FCU,7
RI,BankNewport,7
UT,KeyBank National Association,7
UT,"Readycap Lending, LLC",7
AK,Alaska USA FCU,6
AK,"BSD Capital, LLC dba Lendistry",6
AK,"Capital Plus Financial, LLC",6
DE,"Square Capital, LLC",6
IA,Farmers & Merchants Savings Bank,6
IA,Two Rivers Bank & Trust,6
ID,Capital Educators FCU,6
ID,D. L. Evans Bank,6
ID,"Zions Bank, A Division of",6
ME,Machias Savings Bank,6
MT,First Interstate Bank,6
ND,"Harvest Small Business Finance, LLC",6
NE,Benworth Capital,6
NE,Commercial State Bank,6
NE,"U.S. Bank, National Association",6
NH,"Citizens Bank, National Association",6
NM,Benworth Capital,6
NM,Customers Bank,6
NM,FirstLight FCU,6
NM,"U.S. Bank, National Association",6
NM,"Wells Fargo Bank, National Association",6
RI,"Bank of America, National Association",6
RI,Pawtucket CU,6
SD,"BankWest, Inc",6
UT,Goldenwest FCU,6
WV,"WesBanco Bank, Inc.",6
DC,"Square Capital, LLC",5
DE,"Wells Fargo Bank, National Association",5
HI,"Capital Plus Financial, LLC",5
HI,"Prestamos CDFI, LLC",5
HI,"Square Capital, LLC",5
ID,KeyBank National Association,5
ME,"TD Bank, National Association",5
ND,"U.S. Bank, National Association",5
NH,Celtic Bank Corporation,5
NH,Eastern Bank,5
SD,First Interstate Bank,5
WV,"BSD Capital, LLC dba Lendistry",5
WV,"Capital Plus Financial, LLC",5
WV,"Clear Mountain Bank, Inc.",5
AK,"Harvest Small Business Finance, LLC",4
AK,Spirit of Alaska FCU,4
DC,Celtic Bank Corporation,4
DC,Congressional Bank,4
GU,Coast360 FCU,4
HI,"Harvest Small Business Finance, LLC",4
ID,"A10Capital, LLC",4
ID,"Harvest Small Business Finance, LLC",4
ID,Potlatch No. 1 Financial Credit Union,4
ME,Acadia FCU,4
ME,Atlantic Regional FCU,4
ME,cPort CU,4
ME,Kennebunk Savings Bank,4
ME,Maine Savings FCU,4
ME,Skowhegan Savings Bank,4
ND,"Alerus Financial, National Association",4
ND,"Dakota Community Bank & Trust, National Association",4
NH,Bangor Savings Bank,4
NH,Ledyard National Bank,4
NH,"People's United Bank, National Association",4
NH,Service FCU,4
NH,St. Mary's Bank,4
NH,Triangle CU,4
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Oriental",4
VI,FirstBank Puerto Rico,4
VT,Community National Bank,4
AK,Benworth Capital,3
AK,KeyBank National Association,3
DC,"Bank of America, National Association",3
DC,EagleBank,3
DC,"immito, LLC",3
DC,"Kabbage, Inc.",3
DC,"TD Bank, National Association",3
HI,Benworth Capital,3
HI,Celtic Bank Corporation,3
MT,Benworth Capital,3
MT,"BSD Capital, LLC dba Lendistry",3
MT,Clearwater FCU,3
MT,Montana Community Development Corp.,3
MT,The Yellowstone Bank,3
ND,Benworth Capital,3
ND,"Bremer Bank, National Association",3
ND,"Prestamos CDFI, LLC",3
ND,Town and Country CU,3
ND,United Savings CU,3
SD,American Bank & Trust,3
SD,Benworth Capital,3
SD,Dacotah Bank,3
SD,First Bank & Trust,3
SD,Great Western Bank,3
SD,"Prestamos CDFI, LLC",3
VT,KeyBank National Association,3
WY,"BSD Capital, LLC dba Lendistry",3
WY,Glacier Bank,3
WY,Pinnacle Bank-Wyoming,3
AK,Celtic Bank Corporation,2
AK,Denali State Bank,2
AK,First Bank,2
AK,First National Bank Alaska,2
AK,Fountainhead SBF LLC,2
AK,Itria Ventures LLC,2
AK,Northern Skies FCU,2
AK,"Square Capital, LLC",2
AS,Territorial Bank of American Samoa,2
GU,"ANZ Guam, Inc",2
GU,Bank of Guam,2
MT,Independence Bank,2
MT,Opportunity Bank of Montana,2
PR,"Cooperativa de Ahorro y Cr<ac,e>dito Dr. Manuel Zeno Gand<ac,i>a",2
SD,Bank of the West,2
SD,Black Hills FCU,2
SD,"Capital Plus Financial, LLC",2
SD,Cornerstone Bank,2
SD,First Fidelity Bank,2
SD,First National Bank,2
SD,First PREMIER Bank,2
SD,"Harvest Small Business Finance, LLC",2
SD,Plains Commerce Bank,2
SD,Quoin Financial Bank,2
SD,The First National Bank in Sioux Falls,2
VI,Banco Popular de Puerto Rico,2
VT,New England FCU,2
VT,New York Business Development Corporation,2
VT,Northfield Savings Bank,2
VT,Peoples Trust Company of St. Albans,2
VT,Vermont FCU,2
WY,Buffalo Federal Bank,2
WY,First Interstate Bank,2
WY,Platte Valley Bank,2
WY,The Converse County Bank,2
WY,Wyoming Community Bank,2
MP,Bank of Guam,1
PR,First Equity Mortgage Bankers Inc.,1
PR,Itria Ventures LLC,1
VI,Benworth Capital,1
VT,"BSD Capital, LLC dba Lendistry",1
VT,"People's United Bank, National Association",1
WY,Cross River Bank,1
WY,First Federal Bank & Trust,1
WY,First Northern Bank of Wyoming,1
WY,First State Bank,1
WY,"Harvest Small Business Finance, LLC",1
WY,Hilltop National Bank,1
WY,Jonah Bank of Wyoming,1
WY,"Kabbage, Inc.",1
WY,NebraskaLand National Bank,1
WY,"Prestamos CDFI, LLC",1
WY,Security State Bank,1
WY,Stockman Bank of Montana,1
WY,The Enterprise Center Capital Corporation,1
WY,"U.S. Bank, National Association",1
WY,Uinta Bank,1
